Provincias,Total
A Coruña,8.219999999999999
Albacete,9.629999999999999
Alicante/Alacant,11.2325
Almería,14.76
Araba/Álava,6.3
Asturias,11.1525
Badajoz,15.0325
Barcelona,8.7425
Burgos,6.88
Cantabria,6.39
Castellón/Castelló,12.3825
Ceuta,20.9375
Ciudad Real,12.325
Cuenca,8.1125
Cáceres,12.9375
Cádiz,18.932499999999997
Córdoba,14.3025
Gerona,8.67
Granada,17.0
Guadalajara,8.71
Guipúzcoa,6.5
Huelva,15.9725
Huesca,6.9925
Islas Baleares,10.182500000000001
Jaén,15.9875
La Rioja,7.795
Las Palmas,13.5825
León,8.1875
Lugo,7.757499999999999
Lérida,6.45
Madrid,8.84
Melilla,23.064999999999998
Murcia,10.9275
Málaga,14.02
Navarra,9.1175
Orense,9.395
Palencia,6.27
Pontevedra,9.9425
Salamanca,9.44
Santa Cruz de Tenerife,14.68
Segovia,6.202500000000001
Sevilla,14.1075
Soria,5.3525
Tarragona,9.915
Teruel,7.452500000000001
Toledo,9.8975
Valencia/València,10.0125
Valladolid,7.15
Vizcaya,7.1325
Zamora,12.39
Zaragoza,5.8
Ávila,10.585
