Provincias,Total
A Coruña,10.030000000000001
Albacete,14.7225
Alicante/Alacant,15.504999999999999
Almería,17.35
Araba/Álava,7.36
Asturias,13.08
Badajoz,22.677500000000002
Barcelona,8.9875
Burgos,8.932500000000001
Cantabria,9.967500000000001
Castellón/Castelló,15.950000000000001
Ceuta,33.8075
Ciudad Real,21.1575
Cuenca,15.615
Cáceres,17.822499999999998
Cádiz,26.2725
Córdoba,23.060000000000002
Gerona,10.65
Granada,24.1925
Guadalajara,11.2925
Guipúzcoa,8.245000000000001
Huelva,21.134999999999998
Huesca,9.875
Islas Baleares,11.067499999999999
Jaén,21.2625
La Rioja,10.6975
Las Palmas,16.4825
León,12.5425
Lugo,9.11
Lérida,8.445
Madrid,11.6175
Melilla,23.9025
Murcia,14.71
Málaga,19.595
Navarra,10.735
Orense,10.0575
Palencia,10.38
Pontevedra,11.955
Salamanca,11.9225
Santa Cruz de Tenerife,19.785
Segovia,10.2875
Sevilla,19.3675
Soria,11.2725
Tarragona,12.2
Teruel,11.705
Toledo,17.825
Valencia/València,13.895
Valladolid,11.0475
Vizcaya,8.6975
Zamora,14.6875
Zaragoza,10.629999999999999
Ávila,13.1775
