Sexo,Provincias,Tasas,Periodo,Total
Ambos sexos,Albacete,Tasa de paro de la población,2023T3,9.24
Ambos sexos,Alicante/Alacant,Tasa de paro de la población,2023T3,11.46
Ambos sexos,Almería,Tasa de paro de la población,2023T3,19.83
Ambos sexos,Araba/Álava,Tasa de paro de la población,2023T3,9.15
Ambos sexos,Asturias,Tasa de paro de la población,2023T3,13.09
Ambos sexos,Ávila,Tasa de paro de la población,2023T3,10.95
Ambos sexos,Badajoz,Tasa de paro de la población,2023T3,18.98
Ambos sexos,Islas Baleares,Tasa de paro de la población,2023T3,5.72
Ambos sexos,Barcelona,Tasa de paro de la población,2023T3,8.35
Ambos sexos,Vizcaya,Tasa de paro de la población,2023T3,7.87
Ambos sexos,Burgos,Tasa de paro de la población,2023T3,6.94
Ambos sexos,Cáceres,Tasa de paro de la población,2023T3,11.71
Ambos sexos,Cádiz,Tasa de paro de la población,2023T3,21.38
Ambos sexos,Cantabria,Tasa de paro de la población,2023T3,7.48
Ambos sexos,Castellón/Castelló,Tasa de paro de la población,2023T3,14.06
Ambos sexos,Ciudad Real,Tasa de paro de la población,2023T3,15.28
Ambos sexos,Córdoba,Tasa de paro de la población,2023T3,17.89
Ambos sexos,A Coruña,Tasa de paro de la población,2023T3,8.15
Ambos sexos,Cuenca,Tasa de paro de la población,2023T3,9.86
Ambos sexos,Guipúzcoa,Tasa de paro de la población,2023T3,8.67
Ambos sexos,Gerona,Tasa de paro de la población,2023T3,9.0
Ambos sexos,Granada,Tasa de paro de la población,2023T3,21.45
Ambos sexos,Guadalajara,Tasa de paro de la población,2023T3,11.07
Ambos sexos,Huelva,Tasa de paro de la población,2023T3,19.61
Ambos sexos,Huesca,Tasa de paro de la población,2023T3,6.41
Ambos sexos,Jaén,Tasa de paro de la población,2023T3,23.25
Ambos sexos,León,Tasa de paro de la población,2023T3,10.41
Ambos sexos,Lérida,Tasa de paro de la población,2023T3,7.63
Ambos sexos,Lugo,Tasa de paro de la población,2023T3,9.39
Ambos sexos,Madrid,Tasa de paro de la población,2023T3,10.53
Ambos sexos,Málaga,Tasa de paro de la población,2023T3,16.05
Ambos sexos,Murcia,Tasa de paro de la población,2023T3,13.39
Ambos sexos,Navarra,Tasa de paro de la población,2023T3,9.29
Ambos sexos,Orense,Tasa de paro de la población,2023T3,8.64
Ambos sexos,Palencia,Tasa de paro de la población,2023T3,6.61
Ambos sexos,Las Palmas,Tasa de paro de la población,2023T3,14.64
Ambos sexos,Pontevedra,Tasa de paro de la población,2023T3,10.78
Ambos sexos,La Rioja,Tasa de paro de la población,2023T3,9.61
Ambos sexos,Salamanca,Tasa de paro de la población,2023T3,11.23
Ambos sexos,Santa Cruz de Tenerife,Tasa de paro de la población,2023T3,15.86
Ambos sexos,Segovia,Tasa de paro de la población,2023T3,10.17
Ambos sexos,Sevilla,Tasa de paro de la población,2023T3,16.25
Ambos sexos,Soria,Tasa de paro de la población,2023T3,7.69
Ambos sexos,Tarragona,Tasa de paro de la población,2023T3,9.59
Ambos sexos,Teruel,Tasa de paro de la población,2023T3,8.31
Ambos sexos,Toledo,Tasa de paro de la población,2023T3,11.93
Ambos sexos,Valencia/València,Tasa de paro de la población,2023T3,11.55
Ambos sexos,Valladolid,Tasa de paro de la población,2023T3,8.88
Ambos sexos,Zamora,Tasa de paro de la población,2023T3,12.66
Ambos sexos,Zaragoza,Tasa de paro de la población,2023T3,8.01
Ambos sexos,Ceuta,Tasa de paro de la población,2023T3,27.79
Ambos sexos,Melilla,Tasa de paro de la población,2023T3,20.89
